ra,dec,known_id,tile,label
137.82178,79.24249,091117+791431,050_339,0.833333333333333
136.63277,79.12233,0906320+790721,052_338,1.0
138.28171,79.20877,091306+791228,053_338,0.708333333333333
138.61621,79.13908,091427+790820,053_338,0.958333333333333
138.48166,79.24481,0913561+791448,053_338,0.916666666666667
112.58426,75.818275,0730209+754909,054_332,0.958333333333333
143.48375,78.94131,0933549+785628,055_338,1.0
137.22234,78.20871,0908532+781232,057_336,1.0
136.44763,78.01392,0905468+780051,057_336,0.958333333333333
137.59676,78.1288,091023+780743,057_336,1.0
138.38454,78.11963,0913305+780704,058_336,1.0
137.08315,77.700966,0908200+774201,059_335,1.0
139.63933,77.40773,0918331+772427,060_335,0.958333333333333
143.21425,78.137794,0932512+780816,060_336,0.875
141.85602,77.727005,0927255+774338,061_335,1.0
112.118866,73.776855,0728285+734636,062_328,1.0
149.56757,77.90558,0958162+775420,062_336,1.0
138.13597,76.71303,0912322+764247,064_333,0.291666666666667
142.23425,76.90695,0928560+765426,064_334,0.916666666666667
120.36197,74.04514,0801268+740242,066_328,0.625
122.8307,73.832726,0811191+734958,068_328,1.0
122.87523,73.83817,0811307+735015,068_328,0.958333333333333
140.60954,75.76747,0922262+754602,068_332,0.583333333333333
120.16959,72.84896,0800407+725056,070_326,0.625
140.39874,75.27844,0921355+751642,070_331,0.875
150.63153,76.659706,1002313+763935,070_333,0.583333333333333
205.11526,80.00582,non_dwarf_1,071_340,0.0
205.11526489257812,80.00582122802734,1340273+800022,071_340,0.0
126.476166,73.2807,082553+731644,072_327,0.916666666666667
126.10163,73.42159,082424+732517,072_327,1.0
126.18133,73.71646,082443+734259,072_327,0.833333333333333
149.03654,75.811195,095608+754840,072_332,1.0
148.85869,75.87531,095526+755232,072_332,0.0833333333333333
128.17569,73.44361,0832422+732636,073_327,1.0
132.91139,74.18235,0851384+741057,073_328,0.375
156.00964,76.6953,1024021+764144,073_333,0.0416666666666667
163.31702,77.129974,1053175+770742,073_334,0.833333333333333
159.01637,76.641624,1036037+763830,074_333,1.0
211.93495,80.098564,1407435+800555,074_340,0.0416666666666667
132.72392,73.317505,0850535+731904,075_327,0.958333333333333
136.8939,73.888725,0907341+735320,075_328,0.125
