known_id,ra,dec,tile,label
091117+791431,137.82178,79.24249,050_339,0.875
0906320+790721,136.63277,79.12233,052_338,1
0933549+785628,143.48375,78.94131,055_338,1
0905468+780051,136.44763,78.01392,057_336,1
091023+780743,137.59676,78.1288,057_336,1
0908532+781232,137.22234,78.20871,057_336,1
0730209+754909,112.58426,75.818275,054_332,0.791666666666667
0932512+780816,143.21425,78.137794,060_336,0.75
091427+790820,138.61621,79.13908,053_338,1
091306+791228,138.28171,79.20877,053_338,0.875
0913561+791448,138.48166,79.24481,053_338,1
0918331+772427,139.63933,77.40773,060_335,1
0927255+774338,141.85602,77.727005,061_335,1
0908200+774201,137.08315,77.700966,059_335,1
0913305+780704,138.38454,78.11963,058_336,1
0958162+775420,149.56757,77.90558,062_336,1
0728285+734636,112.118866,73.776855,062_328,1
0928560+765426,142.23425,76.90695,064_334,1
0801268+740242,120.36197,74.04514,066_328,0.916666666666667
0800407+725056,120.16959,72.84896,070_326,0.833333333333333
0811191+734958,122.8307,73.832726,068_328,1
0811307+735015,122.87523,73.83817,068_328,1
0922262+754602,140.60954,75.76747,068_332,1
0921355+751642,140.39874,75.27844,070_331,1
1002313+763935,150.63153,76.659706,070_333,0.791666666666667
095608+754840,149.03654,75.811195,072_332,1
095526+755232,148.85869,75.87531,072_332,0.5
1024021+764144,156.00964,76.6953,073_333,0.166666666666667
082553+731644,126.476166,73.2807,072_327,1
082424+732517,126.10163,73.42159,072_327,1
082443+734259,126.18133,73.71646,072_327,1
0832422+732636,128.17569,73.44361,073_327,1
0851384+741057,132.91139,74.18235,073_328,0.833333333333333
1053175+770742,163.31702,77.129974,073_334,0.916666666666667
1036037+763830,159.01637,76.641624,074_333,1
0850535+731904,132.72392,73.317505,075_327,1
0907341+735320,136.8939,73.888725,075_328,0.458333333333333
1113080+765528,168.28313,76.92422,076_334,1
1038596+750137,159.74934,75.02684,083_330,0.791666666666667
1010209+740504,152.58736,74.08451,084_328,0.833333333333333
121922+762850,184.84348,76.48088,086_333,1
0816375+692046,124.15613,69.34572,087_319,0.958333333333333
0915204+720157,138.83559,72.03246,086_324,1
1428167+782045,217.07043,78.34568,087_337,0.916666666666667
0948120+725434,147.05066,72.909035,086_326,1
1009582+732826,152.49228,73.4742,087_327,1
1015283+733419,153.86665,73.57192,087_327,1
121110+761039,182.78728,76.17868,088_332,0.833333333333333
101624+732735,154.10378,73.45986,088_327,1
101801+732748,154.50484,73.46346,088_327,1
1018101+732825,154.54282,73.47381,088_327,0.916666666666667
102127+732838,155.35999,73.47753,088_327,1
101645+732902,154.18852,73.48387,088_327,1
095637+722617,149.15727,72.4382,090_325,0.458333333333333
123423+764330,188.59818,76.72468,088_333,1
095512+721719,148.8032,72.288765,089_325,1
095345+721919,148.44029,72.32214,089_325,1
1224584+760039,186.24324,76.010956,090_332,1
122159+755551,185.49712,75.93106,090_332,1
122213+755649,185.55829,75.9473,090_332,1
122245+760106,185.69002,76.01853,090_332,1
122313+760605,185.8051,76.10144,090_332,1
1220053+760411,185.02249,76.06951,090_332,1
0959045+730523,149.77376,73.0911,088_326,1
0957566+724628,149.48645,72.774445,087_326,1
0845173+691744,131.32153,69.29551,092_319,1
1234530+754731,188.72124,75.79233,091_332,0.666666666666667
123001+755150,187.50427,75.86421,091_332,1
1235163+755338,188.81783,75.8938,091_332,0.916666666666667
0939160+711841,144.8163,71.311066,092_323,0.958333333333333
0954329+715933,148.63766,71.99249,092_324,1
1218387+752311,184.66078,75.38632,092_331,1
1217483+753043,184.45107,75.511406,092_331,0.833333333333333
094436+712846,146.14731,71.480896,093_323,1
1000414+715533,150.17294,71.92562,093_324,0.666666666666667
100318+720907,150.82542,72.15225,093_324,1
122259+752751,185.74596,75.46503,093_331,1
122004+752951,185.01814,75.497536,093_331,0.958333333333333
122018+753100,185.0766,75.51672,093_331,1
1226429+753334,186.67856,75.559525,093_331,0.833333333333333
1226114+753555,186.5471,75.598175,093_331,0.125
1224039+751950,186.01631,75.33054,093_331,1
121952+753541,184.97025,75.59494,093_331,1
121922+753812,184.8418,75.63693,093_331,1
122118+754205,185.3272,75.701645,093_331,0.958333333333333
121959+754236,184.99689,75.70999,093_331,0.958333333333333
121937+754352,184.90565,75.731606,093_331,0.916666666666667
122057+754445,185.23831,75.74615,093_331,0.791666666666667
1206314+745904,181.63107,74.985214,094_330,0.833333333333333
1206446+750629,181.68687,75.10781,094_330,0.541666666666667
1208122+751044,182.05084,75.17882,094_330,0.875
0909482+700613,137.45096,70.1035,094_320,0.708333333333333
1232373+751450,188.15677,75.247444,094_331,0.791666666666667
1227209+751839,186.84134,75.31096,094_331,0.875
1227597+753013,186.99908,75.503456,094_331,1
1232558+753324,188.23364,75.55655,094_331,1
1230172+752147,187.57079,75.36302,094_331,0.833333333333333
121704+750321,184.26384,75.05569,095_330,1
121538+750643,183.90895,75.111946,095_330,1
1211217+751248,182.84068,75.212975,095_330,0.791666666666667
1248107+753241,192.04465,75.54459,096_331,0.875
HO1,145.14629,71.1826,095_322,0.958333333333333
122850+744533,187.20956,74.75895,097_330,1
123159+745244,187.99857,74.87909,097_330,1
1228430+745725,187.17973,74.95687,097_330,1
122823+745840,187.09903,74.97806,097_330,1
123130+750041,187.87593,75.011635,097_330,1
122658+750055,186.74232,75.015305,097_330,1
122627+750528,186.61267,75.09118,097_330,0.833333333333333
122645+751059,186.69029,75.184044,097_330,1
1226494+750428,186.70624,75.07429,097_330,0.75
122155+750402,185.48303,75.06759,096_330,1
122037+750705,185.15784,75.11831,096_330,1
1220062+750706,185.02567,75.11824,096_330,1
d0926p70,141.61548,70.50543,095_321,0.75
123658+745328,189.24222,74.891396,098_330,1
d0934p70,143.51611,70.216415,098_320,0.708333333333333
0852392+683914,133.15988,68.65195,098_317,0.166666666666667
0747583+645934,116.993515,64.99239,099_310,0.125
0901143+681850,135.3094,68.313286,099_317,0.458333333333333
1224000+743200,185.9973,74.533455,099_329,0.833333333333333
1222006+744146,185.50359,74.695915,099_329,1
1336507+761026,204.20978,76.17333,099_332,0.708333333333333
0821048+662111,125.271034,66.35354,100_313,0.416666666666667
1227462+743523,186.94269,74.58959,100_329,1
123155+743624,187.98233,74.60694,100_329,1
d0955p70,148.80685,70.40704,099_321,0.333333333333333
1656425+783819,254.17693,78.6384,101_337,0.333333333333333
1244183+741758,191.07617,74.29929,102_329,1
1244326+742135,191.13591,74.35954,102_329,1
124609+743455,191.53938,74.58219,102_329,1
124044+743718,190.18665,74.62192,102_329,1
HS117,155.35309,71.114845,101_322,1
123647+741555,189.19933,74.2656,101_329,1
1236572+741657,189.23906,74.28247,101_329,1
1238508+741902,189.71217,74.31707,101_329,1
1238050+742253,189.52103,74.38114,101_329,1
123022+735419,187.5929,73.90565,103_328,1
1227143+740505,186.80925,74.08455,103_328,1
1236463+734905,189.19293,73.81797,104_328,0.916666666666667
1235126+734933,188.80229,73.82603,104_328,1
1235095+735942,188.79013,73.99485,104_328,1
123810+740157,189.54324,74.032166,104_328,0.833333333333333
163329+780536,248.37491,78.09366,103_336,1
1322073+744639,200.52893,74.77781,104_330,0.916666666666667
1239192+740344,189.82991,74.0618,105_328,1
124257+740945,190.7402,74.16262,105_328,1
1650325+780244,252.63562,78.04575,105_336,0.5
FM1,146.29091,68.76414,105_318,1
ddo82,157.6459,70.62112,105_321,1
1203189+730016,180.82935,73.004425,106_326,0.791666666666667
1245394+740639,191.41455,74.110825,106_328,1
0827159+645226,126.81352,64.87279,107_310,0.916666666666667
0705301+592229,106.37538,59.374947,108_299,0.791666666666667
0747009+622237,116.75334,62.377106,108_305,1
095703+683533,149.2634,68.592064,109_317,1
1244170+733614,191.0706,73.6036,109_327,0.75
d1028p70,157.1658,70.23327,108_320,1
1015068+690215,153.77827,69.03713,110_318,0.916666666666667
d1014p68,153.73164,68.75749,110_318,0.333333333333333
1030310+693149,157.62929,69.53016,110_319,0.916666666666667
100441+681523,151.17073,68.256325,111_317,1
IKN,152.01802,68.40209,111_317,0.125
NGC3077,150.83405,68.7335,111_317,0.791666666666667
0830321+635451,127.63409,63.91438,112_308,1
d1041p70,160.32294,70.15222,110_320,0.875
1309197+733550,197.33195,73.596855,112_327,0.875
1019526+691119,154.9677,69.18839,111_318,1
0711577+584016,107.990326,58.67124,113_297,0.958333333333333
1249399+731044,192.41609,73.17827,113_326,0.875
071619+583015,109.07999,58.504242,114_297,0.958333333333333
0831432+632825,127.929886,63.473476,114_307,0.958333333333333
072324+581731,110.85345,58.292477,116_297,0.916666666666667
072324+575258,110.85356,57.88382,117_296,1
072144+580113,110.43535,58.020367,117_296,1
072325+580127,110.85413,58.024464,117_296,0.958333333333333
072244+580253,110.68697,58.048073,117_296,0.958333333333333
072214+580503,110.55872,58.084396,117_296,1
072122+581216,110.34391,58.20457,117_296,1
IC2574,157.1771,68.44903,115_317,0.958333333333333
075701+602342,119.25548,60.395164,117_301,1
071416+570320,108.570366,57.05561,118_294,1
075720+602141,119.33333,60.36135,118_301,1
072457+580315,111.24048,58.054256,118_296,1
072456+580355,111.23461,58.06548,118_296,0.875
072528+581038,111.36989,58.17754,118_296,1
1246390+720651,191.66258,72.11406,118_324,1
072426+573754,111.10989,57.63178,119_295,1
072223+574359,110.59835,57.733227,119_295,1
071704+564636,109.26906,56.776794,119_294,1
071646+564814,109.19511,56.803978,119_294,1
071618+564957,109.07776,56.832836,119_294,0.958333333333333
071613+565024,109.05614,56.83973,119_294,1
071625+565041,109.107796,56.844624,119_294,0.916666666666667
071609+565253,109.038155,56.881485,119_294,0.916666666666667
071626+564355,109.112305,56.732197,120_293,1
ddo78,156.63782,67.65012,120_315,1
1201284+704423,180.36752,70.73883,120_321,0.583333333333333
072517+573103,111.3218,57.51776,120_295,0.875
kdg63,151.28682,66.55761,121_313,1
121829+704512,184.62457,70.75371,120_322,1
121804+705653,184.51942,70.94806,120_322,1
1251227+714120,192.84413,71.68767,122_323,0.583333333333333
121753+704216,184.47598,70.70456,123_321,1
1450552+734840,222.7293,73.81139,123_328,0.666666666666667
1235593+705054,188.99678,70.84853,123_322,1
1211142+693908,182.80974,69.65231,128_319,1
1014450+651945,153.68755,65.32894,127_311,0.416666666666667
1646088+753914,251.53708,75.65395,126_331,0.958333333333333
1032592+671041,158.24532,67.17792,124_314,0.583333333333333
172932+754436,262.38647,75.74737,127_332,0.541666666666667
0758180+582842,119.57572,58.478043,125_297,0.958333333333333
0808400+572127,122.16672,57.35739,131_295,0.625
MATLAS-357,124.82486,58.31375,130_297,0.666666666666667
1019248+653819,154.8448,65.64038,128_311,0.25
MATLAS-360,125.07746,58.32565,131_297,1
0812562+580740,123.233826,58.12765,131_296,1
MATLAS-345,124.02164,58.180786,131_296,1
MATLAS-354,124.60878,57.794132,132_296,0.791666666666667
MATLAS-351,124.55242,57.96947,132_296,0.958333333333333
MATLAS-358,124.84431,57.98627,132_296,0.958333333333333
MATLAS-356,124.70667,57.988823,132_296,0.916666666666667
MATLAS-348,124.2207,58.048775,132_296,1
MATLAS-359,124.99878,58.12336,132_296,0.75
MATLAS-349,124.44361,58.148907,132_296,0.75
MATLAS-347,124.13497,58.19088,132_296,1
MATLAS-353,124.57031,58.01898,132_296,0.708333333333333
120904+684705,182.26875,68.784805,131_318,1
120857+684805,182.23987,68.80171,131_318,1
120928+685129,182.37044,68.85847,131_318,0.875
1210269+685205,182.61234,68.86766,131_318,1
1630249+741705,247.60214,74.28442,132_329,0.25
MATLAS-346,124.09812,57.272633,133_295,0.958333333333333
1219477+685057,184.94908,68.84905,133_318,0.75
1241268+692537,190.36122,69.42673,133_319,1
