host,ID,ra,dec,morph,re,zspec,tile,x,y,bands,n_bands,cutout
NGC5457,[MVA2014] DF 4,211.89083,54.71089,UDG,28.0,,"(246, 289)",4120.276396012283,9087.340521854445,ugriz,5,1
NGC5457,[MVA2014] DF 5,211.1171,55.6167,UDG,38.0,,"(239, 291)",3492.105869601455,7263.024499588791,ugriz,5,1
NGC5457,[MVA2014] DF 6,212.07792,55.19183,UDG,22.0,,"(243, 290)",2244.0341953593047,8722.400178895885,ugriz,5,1
NGC5457,[MVA2014] DF 7,211.44792,55.13258,UDG,20.0,,"(243, 290)",9219.451933662118,7580.774125962493,ugriz,5,1
NGC2683,dw0848p3226,132.166,32.4442,,16.4002464030936,,"(223, 245)",5626.836453015493,3918.7659642618855,ugri,4,1
NGC2683,dw0846p3300,131.5588,32.9974,,38.3498938168139,,"(221, 246)",8207.445739244815,4952.62291125842,ugri,4,1
M81,M82,148.9683,69.6797,,,,"(104, 319)",1737.1137126657136,8495.357815611376,griz,4,1
M81,NGC3077,150.8296,68.7339,,65.4105125184698,,"(111, 317)",9233.84250361587,9553.50531258172,griz,4,1
M81,IC2574,157.1413,68.4328,,187.786679283021,,"(115, 317)",3202.515931865857,3701.413984527755,griz,4,1
M81,ddo82,157.6524,70.6183,,60.3138862810069,,"(105, 321)",2583.0472573040115,7300.012313683553,ugriz,5,1
M81,IKN,152.0246,68.3992,,65.416226225014,,"(111, 317)",772.0885449601101,3066.928712310189,griz,4,1
M81,FM1,146.2917,68.765,,42.8185168425413,,"(105, 318)",6444.338941053611,448.3355595400253,griz,4,1
M81,d1014p68,153.7325,68.7575,,19.7008601645426,,"(110, 318)",3181.791570393408,304.4028978292017,griz,4,1
M81,kdg63,151.2804,66.555,,40.9215662698533,,"(121, 313)",8424.05912321145,6078.017602340609,griz,4,1
M81,ddo78,156.6163,67.6567,,79.7576296510587,,"(120, 315)",6261.647587537516,8038.435150221304,griz,4,1
M81,d1028p70,157.1654,70.2336,,17.3125308290499,,"(108, 320)",9718.865831440824,9554.855598921982,ugriz,5,1
M81,d0955p70,148.8067,70.4081,,18.5981148015041,,"(99, 321)",1638.179707010992,3233.371001090589,ugriz,5,1
M81,d1041p70,160.32,70.1508,,10.9017520864116,,"(110, 320)",8219.219803378197,7935.282316694994,ugriz,5,1
M81,HS117,155.355,71.1161,,31.9224784626739,,"(101, 322)",3484.9974633405945,7252.92238283376,ugriz,5,1
M81,d0926p70,141.6163,70.5067,,14.301407480235,,"(95, 321)",9407.337984415444,5154.550277650007,griz,4,1
M81,HO1,145.1346,71.1864,,84.0086273199739,,"(95, 322)",9775.76011386302,8642.399287250004,ugriz,5,1
M81,d0934p70,143.5154,70.2158,,27.9514524144265,,"(98, 320)",3366.813120274252,9185.33929982883,griz,4,1
NGC3556,dw1110p5429,167.6471,54.4973,,5.05618755418275,,"(195, 289)",7845.669427123896,4952.788612796354,ugriz,5,1
NGC4258,NGC4248,184.4591,47.4092,,53.7778186509791,,"(249, 275)",2694.5403289440032,3242.9923643739785,ugri,4,1
NGC4258,LVJ1218+4655,184.5465,46.9172,,16.1058436211274,,"(252, 274)",7709.297090632772,3398.955091804626,ugri,4,1
NGC4258,dw1220p4729,185.1256,47.4906,,12.315727806337,,"(250, 275)",3661.7873287446746,4818.717514544192,ugri,4,1
NGC4258,dw1223p4644,185.9542,46.7495,,3.39763972512578,,"(256, 273)",4953.232472384915,9835.083053366674,ugri,4,1
NGC4631,dw1236p3336,189.2059,33.6131,,11.8044791142764,,"(316, 247)",9332.960188383087,7197.383550877236,ugri,4,1
NGC4631,dw1239p3251,189.8317,32.8608,,12.5542795586071,,"(318, 246)",996.5816085614056,2307.1050586085685,ugri,4,1
NGC4631,dw1241p3251,190.4464,32.8577,,18.168027123224,,"(319, 246)",694.9816308477339,2247.7581730684806,ugri,4,1
NGC4631,NGC4627,190.4987,32.574,,26.4297688220942,,"(321, 245)",1805.5979850721787,6436.979866610351,ugri,4,1
NGC4631,NGC4656,190.9905,32.1681,,,,"(324, 244)",5597.133679299974,8257.714136328319,ugri,4,1
NGC4736,dw1231p4205,187.7873,42.0942,,8.03450531000594,,"(279, 264)",3971.333633875826,6825.930492025885,ugri,4,1
