host,ID,ra,dec,morph,re,zspec,tile,x,y,bands,n_bands,cutout
NGC5457,[MVA2014] DF 4,211.89083,54.71089,UDG,28.0,,"(246, 289)",4120.27639601228,9087.34052185444,ugriz,5,0
NGC5457,[MVA2014] DF 5,211.1171,55.6167,UDG,38.0,,"(239, 291)",3492.10586960146,7263.02449958879,ugriz,5,0
NGC5457,[MVA2014] DF 6,212.07792,55.19183,UDG,22.0,,"(243, 290)",2244.0341953593,8722.40017889589,ugriz,5,0
NGC5457,[MVA2014] DF 7,211.44792,55.13258,UDG,20.0,,"(243, 290)",9219.45193366212,7580.77412596249,ugriz,5,0
NGC2683,dw0848p3226,132.166,32.4442,,16.4002464030936,,"(223, 245)",5626.83645301549,3918.76596426189,ugri,4,0
NGC2683,dw0846p3300,131.5588,32.9974,,38.3498938168139,,"(221, 246)",8207.44573924482,4952.62291125842,ugri,4,0
M81,M82,148.9683,69.6797,,,,"(104, 319)",1737.11371266571,8495.35781561138,griz,4,0
M81,NGC3077,150.8296,68.7339,,65.4105125184698,,"(111, 317)",9233.84250361587,9553.50531258172,griz,4,0
M81,IC2574,157.1413,68.4328,,187.786679283021,,"(115, 317)",3202.51593186586,3701.41398452776,griz,4,0
M81,ddo82,157.6524,70.6183,,60.3138862810069,,"(105, 321)",2583.04725730401,7300.01231368355,ugriz,5,0
M81,IKN,152.0246,68.3992,,65.416226225014,,"(111, 317)",772.08854496011,3066.92871231019,griz,4,0
M81,FM1,146.2917,68.765,,42.8185168425413,,"(105, 318)",6444.33894105361,448.335559540025,griz,4,0
M81,d1014p68,153.7325,68.7575,,19.7008601645426,,"(110, 318)",3181.79157039341,304.402897829202,griz,4,0
M81,kdg63,151.2804,66.555,,40.9215662698533,,"(121, 313)",8424.05912321145,6078.01760234061,griz,4,0
M81,ddo78,156.6163,67.6567,,79.7576296510587,,"(120, 315)",6261.64758753752,8038.4351502213,griz,4,0
M81,d1028p70,157.1654,70.2336,,17.3125308290499,,"(108, 320)",9718.86583144082,9554.85559892198,ugriz,5,0
M81,d0955p70,148.8067,70.4081,,18.5981148015041,,"(99, 321)",1638.17970701099,3233.37100109059,ugriz,5,0
M81,d1041p70,160.32,70.1508,,10.9017520864116,,"(110, 320)",8219.2198033782,7935.28231669499,ugriz,5,0
M81,HS117,155.355,71.1161,,31.9224784626739,,"(101, 322)",3484.99746334059,7252.92238283376,ugriz,5,0
M81,d0926p70,141.6163,70.5067,,14.301407480235,,"(95, 321)",9407.33798441544,5154.55027765001,griz,4,0
M81,HO1,145.1346,71.1864,,84.0086273199739,,"(95, 322)",9775.76011386302,8642.39928725,ugriz,5,0
M81,d0934p70,143.5154,70.2158,,27.9514524144265,,"(98, 320)",3366.81312027425,9185.33929982883,griz,4,0
NGC3556,dw1110p5429,167.6471,54.4973,,5.05618755418275,,"(195, 289)",7845.6694271239,4952.78861279635,ugriz,5,0
NGC4258,NGC4248,184.4591,47.4092,,53.7778186509791,,"(249, 275)",2694.540328944,3242.99236437398,ugri,4,0
NGC4258,LVJ1218+4655,184.5465,46.9172,,16.1058436211274,,"(252, 274)",7709.29709063277,3398.95509180463,ugri,4,0
NGC4258,dw1220p4729,185.1256,47.4906,,12.315727806337,,"(250, 275)",3661.78732874467,4818.71751454419,ugri,4,0
NGC4258,dw1223p4644,185.9542,46.7495,,3.39763972512578,,"(256, 273)",4953.23247238492,9835.08305336667,ugri,4,0
NGC4631,dw1236p3336,189.2059,33.6131,,11.8044791142764,,"(316, 247)",9332.96018838309,7197.38355087724,ugri,4,0
NGC4631,dw1239p3251,189.8317,32.8608,,12.5542795586071,,"(318, 246)",996.581608561406,2307.10505860857,ugri,4,0
NGC4631,dw1241p3251,190.4464,32.8577,,18.168027123224,,"(319, 246)",694.981630847734,2247.75817306848,ugri,4,0
NGC4631,NGC4627,190.4987,32.574,,26.4297688220942,,"(321, 245)",1805.59798507218,6436.97986661035,ugri,4,0
NGC4631,NGC4656,190.9905,32.1681,,44.0,,"(324, 244)",5597.13367929997,8257.71413632832,ugri,4,0
NGC4736,dw1231p4205,187.7873,42.0942,,8.03450531000594,,"(279, 264)",3971.33363387583,6825.93049202589,ugri,4,0
NGC4736,IC3687,190.5626,38.5034,,53.8891361654616,,"(298, 257)",2367.58263869262,5068.37094769149,ugri,4,0
NGC4736,dw1243p4339,190.9898,43.6618,,14.3845147023273,,"(277, 267)",4244.19618081044,8135.77015646774,ugri,4,0
NGC4736,dw1249p4421,192.3797,44.3595,,8.27023651714548,,"(274, 269)",825.270558158214,2284.92486664699,ugri,4,0
NGC4736,dw1255p4035,193.7615,40.5902,,25.5277253064859,,"(295, 261)",8146.77833795545,6751.80457322898,ugri,4,0
NGC4736,dw1303p4222,195.8097,42.3733,,12.1156018336092,,"(289, 265)",7600.9945426962,2547.4604951272,ugri,4,0
NGC4736,dw1305p4206,196.499,42.1062,,13.8688526867095,,"(292, 264)",4473.48048443946,7058.16112648774,ugri,4,0
NGC4736,dw1311p4051,197.9217,40.863,,7.27820102043326,,"(299, 262)",7458.41812353944,2347.43138299643,ugri,4,0
NGC5055,dw1312p4158,198.0772,41.9755,,12.6828438925779,,"(294, 264)",1121.80949094755,4531.30846734945,ugri,4,0
NGC5055,dw1312p4032,198.2159,40.5432,,11.2689881744468,,"(301, 261)",651.186867512552,5844.45622627828,ugri,4,0
NGC5055,UGCA337,198.244,41.7864,,26.3400390119601,,"(295, 264)",8422.09880905809,865.347007140492,ugri,4,0
NGC5055,UGC8313,198.4754,42.2092,,31.1606358930224,,"(295, 264)",5077.90818023859,9054.09970212046,ugri,4,0
NGC5055,dw1315p4123,198.8158,41.3967,,7.89945374094009,,"(298, 263)",6858.86938944352,2999.52253495655,gri,3,0
NGC5055,dw1321p4226,200.3708,42.4334,,4.70897669278884,,"(295, 265)",560.390592595177,3717.47462137632,ugri,4,0
NGC5055,dw1305p4206-n2,196.499,42.1062,,13.8711338135731,,"(292, 264)",4473.48048443946,7058.16112648774,ugri,4,0
NGC5055,dw1311p4051-n2,197.9217,40.8631,,7.26926476131255,,"(299, 262)",7458.41440135457,2349.36929161422,ugri,4,0
NGC5055,dw1315p4304,198.7521,43.0849,,36.7393198861091,,"(291, 266)",7746.38723890318,6648.45199606626,ugri,4,0
NGC5055,dw1323p4058,200.935,40.9728,,4.39969575444765,,"(303, 262)",2139.07188753287,4476.09308489372,ugri,4,0
NGC5194,NGC5195,202.4983,47.2661,,70.0,,"(274, 275)",8778.83287247621,474.195410124132,gri,3,0
NGC5194,dw1330p4731,202.6411,47.5257,,11.7171872453187,,"(274, 275)",6891.5692897233,5499.79934946041,gri,3,0
NGC5457,dw1350p5441,207.7431,54.6892,,22.8255807897748,,"(241, 289)",2356.75172038996,8670.95509386467,ugriz,5,0
NGC5457,UGC8837,208.6892,53.9043,,78.2854272325518,,"(245, 288)",1806.11184771219,3151.73189569847,ugriz,5,0
NGC5457,dw1403p5337,210.7728,53.6147,,27.1412751974064,,"(251, 287)",7464.82423097374,7226.4828904454,ugriz,5,0
NGC5457,NGC5474,211.2561,53.6617,,92.984174656191,,"(251, 287)",1912.30831973958,8139.42311066774,ugriz,5,0
NGC0661,MATLAS-109,25.6316,28.1847,dE  ,3.81,,"(45, 236)",2458.74806759321,8580.8653137667,ur,2,0
NGC0661,MATLAS-110,25.7293,28.8959,dE  ,3.33,,"(45, 238)",4934.96017468342,2982.64870981441,ur,2,0
NGC0661,MATLAS-111,25.7514,28.5441,dE  ,0.0,,"(45, 237)",2466.84895107535,5856.18427708934,ur,2,0
NGC0661,MATLAS-112,25.8728,28.7761,dI  ,0.0,,"(45, 238)",2497.39919785019,662.576896393969,ur,2,0
NGC0661,MATLAS-113,25.9086,28.9173,dE  ,2.78,,"(45, 238)",1893.53953397597,3399.75919067008,ur,2,0
NGC0661,MATLAS-115,26.1497,28.6458,dE  ,0.0,,"(46, 237)",5371.4875086195,7825.49295394701,ur,2,0
NGC0661,MATLAS-116,26.2854,29.0262,dI  ,0.0,,"(46, 238)",5198.99379183178,5507.73877948422,ur,2,0
NGC0661,MATLAS-117,26.3186,28.7146,dE  ,0.0,,"(46, 237)",2500.6286228769,9160.28609208268,ur,2,0
NGC0661,MATLAS-118,26.3511,28.375,dE  ,3.64,,"(46, 237)",1938.41679279396,2579.90556348222,ur,2,0
NGC0661,MATLAS-119,26.416,28.5031,dE  ,3.91,,"(46, 237)",836.867703332965,5064.31294024815,ur,2,0
NGC0661,MATLAS-120,26.4259,28.7404,dE  ,5.07,,"(46, 237)",678.009322641008,9663.3431914259,ur,2,0
NGC2549,MATLAS-345,124.0215,58.1807,dE  ,4.79,,"(131, 296)",731.504941303144,8515.01342044713,ugriz,5,0
NGC2549,MATLAS-346,124.098,57.2727,dI  ,0.0,,"(133, 295)",1532.83393760516,603.561799217294,ugriz,5,0
NGC2549,MATLAS-347,124.136,58.1901,dE  ,24.6,,"(132, 296)",9201.06284757779,8696.7677896327,ugriz,5,0
NGC2549,MATLAS-348,124.2205,58.0489,dEN ,6.29,,"(132, 296)",8351.15333634043,5955.7400992877,ugriz,5,0
NGC2549,MATLAS-349,124.443,58.149,dI  ,0.0,,"(132, 296)",6066.36682935829,7888.29634826898,ugriz,5,0
NGC2549,MATLAS-350,124.5221,57.4476,dE  ,7.2,,"(134, 295)",6830.53358403118,3986.90581041908,ugriz,5,0
NGC2549,MATLAS-351,124.552,57.9697,dE  ,3.16,,"(132, 296)",4951.4301523401,4412.81904302824,ugriz,5,0
NGC2549,MATLAS-352,124.5566,57.3898,dE  ,3.25,,"(134, 295)",6473.11906531873,2865.96300504119,ugriz,5,0
