tile,ra,dec,near_gal,nearest_gal_sep,nearest_gal_id,nearest_gal_dist
"(48, 340)",138.2105,80.0,True,289.8604448846354,NGC2732                       ,29.9226
"(50, 339)",137.1851,79.5,True,93.40008030023876,NGC2732                       ,29.9226
"(51, 339)",139.9288,79.5,True,131.88782760537768,NGC2732                       ,29.9226
"(52, 338)",136.26192,79.0,True,182.78168016105604,NGC2732                       ,29.9226
"(53, 338)",138.88234,79.0,True,45.4142114087372,NGC2732                       ,29.9226
"(54, 337)",135.428,78.5,True,107.1422223974388,NGC2655                       ,23.8288
"(54, 338)",141.50276,79.0,True,284.7501353794864,NGC2732                       ,29.9226
"(55, 337)",137.93593,78.5,True,77.78771570656748,NGC2715                       ,21.6325
"(56, 336)",134.67256,78.0,True,45.11658039504534,NGC2655                       ,23.8288
"(56, 337)",140.44385,78.5,True,251.73340632907747,NGC2715                       ,21.6325
"(57, 336)",137.07742,78.0,True,32.44166360125473,NGC2715                       ,21.6325
"(58, 336)",139.4823,78.0,True,182.19581564599136,NGC2715                       ,21.6325
"(59, 335)",136.29668,77.5,True,129.0428977391099,NGC2715                       ,21.6325
"(59, 338)",154.60487,79.0,True,189.49098460249263,UGC05600                      ,42.1679
"(60, 328)",108.83866,74.0,True,182.446135704109,PGC020460                     ,39.9945
"(60, 334)",133.36235,77.0,True,188.20173713677093,UGC04623                      ,41.5112
"(60, 335)",138.6068,77.5,True,161.82272216642266,NGC2715                       ,21.6325
"(60, 338)",157.2253,79.0,True,157.38746663330403,UGC05600                      ,42.1679
"(61, 327)",107.388565,73.5,True,237.8532850487052,PGC020460                     ,39.9945
"(61, 334)",135.58505,77.0,True,222.4469224634418,NGC2748                       ,19.4414
"(62, 327)",109.14903,73.5,True,112.55980320270328,PGC020460                     ,39.9945
"(62, 333)",132.79338,76.5,True,85.70513758172507,UGC04623                      ,41.5112
"(62, 334)",137.80775,77.0,True,94.88378125336756,NGC2748                       ,19.4414
"(62, 337)",155.49141,78.5,True,103.9471935427391,UGC05600                      ,42.1679
"(63, 326)",107.73956,73.0,True,192.5875030602245,PGC200231                     ,40.3918
"(63, 333)",134.93521,76.5,True,270.7594296004981,NGC2748                       ,19.4414
"(63, 334)",140.03046,77.0,True,139.02036939009363,NGC2748                       ,19.4414
"(63, 337)",157.99933,78.5,True,262.94280856863645,UGC05600                      ,42.1679
"(64, 326)",109.449715,73.0,True,195.08842279485373,PGC200231                     ,40.3918
"(64, 332)",132.2741,76.0,True,210.5132830918907,UGC04623                      ,41.5112
"(64, 333)",137.07704,76.5,True,107.5334027291969,NGC2748                       ,19.4414
"(64, 334)",142.25317,77.0,True,294.4166678868298,NGC2748                       ,19.4414
"(65, 325)",108.079056,72.5,True,235.37195208233948,UGC03697                      ,33.2441
"(65, 332)",134.34088,76.0,True,212.89381591273087,UGC04623                      ,41.5112
"(65, 333)",139.21887,76.5,True,63.15663952949149,NGC2748                       ,19.4414
"(65, 336)",156.31636,78.0,True,273.004083496542,UGC05600                      ,42.1679
"(66, 324)",106.790245,72.0,True,154.32891315576535,UGC03697                      ,33.2441
"(66, 332)",136.40765,76.0,True,159.15736430539704,NGC2748                       ,19.4414
"(66, 333)",141.3607,76.5,True,228.0963542648257,NGC2748                       ,19.4414
"(66, 336)",158.72124,78.0,True,234.76367424291095,UGC05814                      ,30.7933
"(67, 324)",108.40828,72.0,True,7.752042278467945,UGC03714                      ,46.2982
"(67, 329)",125.35625,74.5,True,139.90254488009322,NGC2550                       ,29.5782
"(67, 332)",138.47444,76.0,True,75.68067844974853,NGC2748                       ,19.4414
"(67, 336)",161.1261,78.0,True,134.96580050122,UGC05814                      ,30.7933
"(68, 323)",107.15254,71.5,True,90.77156267332288,UGC03697                      ,33.2441
"(68, 324)",110.02631,72.0,True,135.1445196638989,UGC03804                      ,42.4522
"(68, 328)",123.35048,74.0,True,125.39683538345342,NGC2523                       ,42.8037
"(68, 329)",127.227234,74.5,True,166.6155724320475,NGC2550                       ,29.5782
"(68, 332)",140.54123,76.0,True,165.59055628703754,NGC2748                       ,19.4414
"(69, 323)",108.72831,71.5,True,84.71788591207734,UGC03714                      ,46.2982
"(69, 324)",111.64435,72.0,True,202.7898496314572,UGC03804                      ,42.4522
"(69, 328)",125.16446,74.0,True,138.92906030127511,NGC2550                       ,29.5782
"(69, 331)",137.79056,75.5,True,245.361348323434,NGC2748                       ,19.4414
"(69, 335)",159.39781,77.5,True,146.79370598100894,UGC05814                      ,30.7933
"(70, 323)",110.304085,71.5,True,108.35991275732708,UGC03804                      ,42.4522
"(70, 327)",123.23278,73.5,True,124.41606660923594,NGC2523                       ,42.8037
"(70, 328)",126.97843,74.0,True,119.4042537168916,NGC2550                       ,29.5782
"(70, 329)",130.96921,74.5,True,126.11912113415066,NGC2633                       ,27.8764
"(70, 331)",139.78752,75.5,True,259.3460043582046,NGC2748                       ,19.4414
"(70, 333)",149.92801,76.5,True,274.37145770757223,NGC3061                       ,38.9045
"(70, 335)",161.70792,77.5,True,122.03375560128876,UGC05814                      ,30.7933
"(71, 323)",111.87986,71.5,True,256.36402046147714,UGC03804                      ,42.4522
"(71, 327)",124.99325,73.5,True,182.90810671015916,NGC2550                       ,29.5782
"(71, 329)",132.84021,74.5,True,102.15226510514644,NGC2633                       ,27.8764
"(72, 322)",110.57593,71.0,True,256.5608137953367,UGC03804                      ,42.4522
"(72, 326)",123.13093,73.0,True,251.8278783394281,NGC2523                       ,42.8037
"(72, 327)",126.753716,73.5,True,112.97334326216324,NGC2551                       ,36.3246
"(72, 328)",130.60638,74.0,True,171.6733196874191,NGC2633                       ,27.8764
"(72, 332)",148.80836,76.0,True,84.60596585380658,NGC3061                       ,38.9045
"(72, 334)",160.03482,77.0,True,134.38724122875766,UGC05814                      ,30.7933
"(73, 326)",124.84108,73.0,True,224.2517829111492,NGC2551                       ,36.3246
"(73, 328)",132.42036,74.0,True,56.24761865348625,NGC2634                       ,34.7383
"(73, 331)",145.77841,75.5,True,290.55809732702994,NGC2977                       ,43.451
"(73, 332)",150.87514,76.0,True,274.26918517903954,NGC3061                       ,38.9045
"(73, 334)",162.25752,77.0,True,154.0983511976587,NGC3329                       ,43.5671
"(74, 326)",126.55123,73.0,True,98.7975888618826,NGC2551                       ,36.3246
"(74, 327)",130.27466,73.5,True,259.9564011689092,NGC2633                       ,27.8764
"(74, 328)",134.23434,74.0,True,257.0014808728403,IC0520                        ,49.8884
"(74, 329)",138.45317,74.5,True,206.3979547132112,UGC04883                      ,45.1926
"(74, 331)",147.77538,75.5,True,184.5684048328935,NGC3061                       ,38.9045
"(75, 327)",132.03513,73.5,True,130.64201857940208,NGC2634                       ,34.7383
"(75, 329)",140.32416,74.5,True,110.60801114006104,UGC04883                      ,45.1926
"(75, 330)",144.88887,75.0,True,181.96644368063644,NGC2977                       ,43.451
"(75, 331)",149.77234,75.5,True,106.74882019479368,NGC3061                       ,38.9045
"(75, 333)",160.63716,76.5,True,60.900902390812014,NGC3329                       ,43.5671
"(75, 336)",180.36504,78.0,True,157.20575235374608,UGC07086                      ,30.0034
"(76, 327)",133.7956,73.5,True,91.73395286468532,IC0520                        ,49.8884
"(76, 328)",137.8623,74.0,True,223.50821592687475,IC0529                        ,30.1604
"(76, 330)",146.82072,75.0,True,151.83064541032564,NGC2977                       ,43.451
"(76, 333)",162.77899,76.5,True,239.1094711291551,NGC3329                       ,43.5671
"(76, 336)",182.76991,78.0,True,169.40934696175094,UGC07086                      ,30.0034
"(77, 326)",131.68169,73.0,True,114.33994918058896,NGC2641                       ,47.4688
"(77, 328)",139.67628,74.0,True,33.46384041660775,IC0529                        ,30.1604
"(77, 329)",144.06613,74.5,True,290.8439766574966,NGC3034                       ,3.4872
"(78, 318)",108.8267,69.0,True,296.1764673412103,PGC020611                     ,39.5031
"(78, 326)",133.39185,73.0,True,210.31216044327232,IC0520                        ,49.8884
"(78, 328)",141.49025,74.0,True,85.24911122662229,PGC026731                     ,47.9645
"(78, 329)",145.93712,74.5,True,91.7064321986434,NGC2977                       ,43.451
"(78, 335)",180.18883,77.5,True,146.75310197477748,UGC07086                      ,30.0034
"(79, 318)",110.22191,69.0,True,297.3949445422181,PGC020611                     ,39.5031
"(79, 325)",131.35762,72.5,True,146.29988286216053,NGC2641                       ,47.4688
"(79, 327)",139.077,73.5,True,44.39047370417798,IC0529                        ,30.1604
"(79, 328)",143.30423,74.0,True,73.8305413411158,UGC05052                      ,44.2588
"(79, 329)",147.8081,74.5,True,278.1089054496085,NGC3034                       ,3.4872
"(79, 335)",182.49893,77.5,True,115.0722705381482,UGC07086                      ,30.0034
"(79, 339)",216.75247,79.5,True,36.338062831734334,UGC09355                      ,34.3572
"(80, 317)",109.14015,68.5,True,75.84128911688809,PGC020611                     ,39.5031
"(80, 325)",133.02039,72.5,True,220.71151950353052,NGC2641                       ,47.4688
"(80, 326)",136.81215,73.0,True,297.58735075069376,NGC3034                       ,3.4872
"(80, 327)",140.83746,73.5,True,138.82931285474447,IC0529                        ,30.1604
"(80, 328)",145.11821,74.0,True,256.4102553054389,NGC3034                       ,3.4872
"(80, 329)",149.67911,74.5,True,277.7266918774103,NGC3034                       ,3.4872
"(80, 339)",219.49617,79.5,True,213.0078428163336,UGC09355                      ,34.3572
"(81, 316)",108.11342,68.0,True,298.0132174233689,PGC020611                     ,39.5031
"(81, 317)",110.5044,68.5,True,198.33794506352532,PGC020611                     ,39.5031
"(81, 326)",138.5223,73.0,True,272.45832164013774,NGC3034                       ,3.4872
"(81, 327)",142.59793,73.5,True,41.90652196215475,UGC05052                      ,44.2588
"(81, 328)",146.93219,74.0,True,249.47895992832076,NGC3034                       ,3.4872
"(81, 329)",151.5501,74.5,True,280.9752316765759,NGC3034                       ,3.4872
"(81, 334)",180.03917,77.0,True,187.5330841960297,UGC07086                      ,30.0034
"(82, 316)",109.44815,68.0,True,75.59120143339709,PGC020611                     ,39.5031
"(82, 325)",136.34589,72.5,True,289.9319918199297,NGC3034                       ,3.4872
"(82, 326)",140.23245,73.0,True,249.21009377319064,NGC3034                       ,3.4872
"(82, 327)",144.3584,73.5,True,232.4019227841208,NGC3034                       ,3.4872
"(82, 328)",148.74617,74.0,True,247.1882659471496,NGC3034                       ,3.4872
"(82, 329)",153.42108,74.5,True,194.50707238524896,NGC3155                       ,49.3885
"(82, 334)",182.26187,77.0,True,36.57067005830619,NGC4127                       ,31.4687
"(82, 338)",214.87457,79.0,True,246.5421305620087,UGC09355                      ,34.3572
"(83, 316)",110.78289,68.0,True,263.269705743406,PGC020611                     ,39.5031
"(83, 325)",138.00865,72.5,True,262.8974498003827,NGC3034                       ,3.4872
"(83, 326)",141.9426,73.0,True,228.4417434763125,NGC3034                       ,3.4872
"(83, 327)",146.11887,73.5,True,222.4415639340231,NGC3034                       ,3.4872
"(83, 328)",150.56015,74.0,True,248.4804834291865,NGC3034                       ,3.4872
"(83, 329)",155.29207,74.5,True,45.95965606403215,NGC3183                       ,37.5875
"(83, 334)",184.48457,77.0,True,268.15986713198714,NGC4127                       ,31.4687
"(83, 338)",217.49498,79.0,True,14.841713491223528,UGC09355                      ,34.3572
"(84, 324)",135.91486,72.0,True,285.4100688514686,NGC3034                       ,3.4872
"(84, 325)",139.6714,72.5,True,237.27895640480824,NGC3034                       ,3.4872
"(84, 326)",143.65276,73.0,True,210.90778456792415,NGC3034                       ,3.4872
"(84, 327)",147.87933,73.5,True,217.3622981011532,NGC3034                       ,3.4872
"(84, 328)",152.37411,74.0,True,254.30263770853355,NGC3034                       ,3.4872
"(84, 329)",157.16306,74.5,True,262.5135311314554,NGC3183                       ,37.5875
"(84, 333)",179.91362,76.5,True,244.7284133367304,NGC4127                       ,31.4687
"(84, 338)",220.1154,79.0,True,282.277480796109,UGC09355                      ,34.3572
"(85, 324)",137.53288,72.0,True,256.7895826761764,NGC3034                       ,3.4872
"(85, 325)",141.33415,72.5,True,213.61179798433983,NGC3034                       ,3.4872
"(85, 326)",145.3629,73.0,True,197.48935820870395,NGC3034                       ,3.4872
"(85, 327)",149.6398,73.5,True,216.91920646922608,NGC3034                       ,3.4872
"(85, 328)",154.1881,74.0,True,77.35851554451672,NGC3155                       ,49.3885
"(85, 333)",182.05545,76.5,True,35.942722439819995,NGC4127                       ,31.4687
"(86, 323)",135.51645,71.5,True,284.1285034889029,NGC3034                       ,3.4872
"(86, 324)",139.15092,72.0,True,229.1133869470665,NGC3034                       ,3.4872
"(86, 325)",142.9969,72.5,True,192.63948633653865,NGC3034                       ,3.4872
"(86, 326)",147.07306,73.0,True,168.81277097386916,NGC2985                       ,20.6063
"(86, 327)",151.40027,73.5,True,220.77955368215896,NGC3034                       ,3.4872
"(86, 328)",156.00208,74.0,True,74.18271782612108,NGC3183                       ,37.5875
"(86, 333)",184.19728,76.5,True,231.1363335180488,NGC4127                       ,31.4687
"(87, 323)",137.09222,71.5,True,254.3276451625477,NGC3034                       ,3.4872
"(87, 324)",140.76895,72.0,True,202.7949562718385,NGC3034                       ,3.4872
"(87, 325)",144.65967,72.5,True,175.3523470873359,NGC3034                       ,3.4872
"(87, 326)",148.7832,73.0,True,186.35920567842643,NGC3034                       ,3.4872
"(87, 327)",153.16074,73.5,True,208.9944773171728,NGC3147                       ,42.7212
"(87, 328)",157.81606,74.0,True,296.01709960264753,NGC3034                       ,3.4872
"(87, 329)",162.77602,74.5,True,256.4237308176759,NGC3403                       ,25.9979
"(87, 337)",218.18954,78.5,True,297.7527587245691,UGC09355                      ,34.3572
"(88, 322)",135.14835,71.0,True,279.29413862840084,NGC2787                       ,7.4173
"(88, 323)",138.668,71.5,True,225.0512493799736,NGC3034                       ,3.4872
"(88, 324)",142.387,72.0,True,178.4612999321481,NGC3034                       ,3.4872
"(88, 325)",146.32242,72.5,True,111.64723655159077,NGC2985                       ,20.6063
"(88, 326)",150.49336,73.0,True,187.9910988112429,NGC3034                       ,3.4872
"(88, 327)",154.9212,73.5,True,151.18421339767883,NGC3147                       ,42.7212
"(88, 329)",164.64702,74.5,True,275.0753762277972,NGC3403                       ,25.9979
"(88, 332)",181.87688,76.0,True,262.4660476923764,NGC4133                       ,17.9473
"(89, 322)",136.68413,71.0,True,236.64911966212583,NGC2787                       ,7.4173
"(89, 323)",140.24376,71.5,True,196.56145541404015,NGC3034                       ,3.4872
"(89, 324)",144.00502,72.0,True,157.0618436496266,NGC3034                       ,3.4872
"(89, 325)",147.98517,72.5,True,19.96366394498329,NGC2985                       ,20.6063
"(89, 326)",152.2035,73.0,True,195.21867574953197,NGC3034                       ,3.4872
"(89, 327)",156.68167,73.5,True,259.958963696799,NGC3034                       ,3.4872
"(89, 328)",161.44402,74.0,True,227.22636204208607,NGC3403                       ,25.9979
"(90, 321)",134.80849,70.5,True,252.26049428992752,NGC2787                       ,7.4173
"(90, 322)",138.21991,71.0,True,207.9565768383272,NGC2787                       ,7.4173
"(90, 323)",141.81953,71.5,True,169.28239180603117,NGC3034                       ,3.4872
"(90, 324)",145.62306,72.0,True,139.96926180908486,NGC3034                       ,3.4872
"(90, 325)",149.64793,72.5,True,104.6637933227328,NGC3065                       ,31.6228
"(90, 326)",153.91367,73.0,True,106.99528741875662,NGC3147                       ,42.7212
"(90, 327)",158.44214,73.5,True,280.0463138414851,NGC3034                       ,3.4872
"(90, 328)",163.25798,74.0,True,23.90481749496403,NGC3403                       ,25.9979
"(90, 331)",179.7268,75.5,True,208.2283687570971,NGC4133                       ,17.9473
"(90, 332)",186.01045,76.0,True,103.58748061147402,NGC4386                       ,27.4334
"(91, 321)",136.30637,70.5,True,198.70465503324635,NGC2787                       ,7.4173
"(91, 322)",139.75568,71.0,True,195.26652485258296,NGC3034                       ,3.4872
"(91, 323)",143.39531,71.5,True,143.93026158561247,NGC3034                       ,3.4872
