ID,X,Y,A,B,theta,total_flux,mu_max,mu_median,mu_mean,R_fwhm,R_e,R10,R90,n_pix,ra,dec,re_arcsec,r_fwhm_arcsec,r_10_arcsec,r_90_arcsec,A_arcsec,B_arcsec,axis_ratio,mag,mu,lsb,ID_known,class,example_id,associated_lsb_ra,associated_lsb_dec
10324,1492.31,1924.2325,7.664771,3.326518,1.5380392,4117.464,68.50102,2.1671038,5.3404202,2.6462836,4.7873073,1.5957692,10.60016,771,138.61621740527093,79.13918228085416,3.5573225775617088,1.9663839831028347,1.1857742668279485,7.87670106194489,5.695490433659906,2.4718483365514095,0.43400096362957225,20.96342547321258,24.807643133135983,1.0,091427+790820,1.0,053.338.10324,,
9902,1492.2104,1847.3522,4.2688775,3.8377738,0.115349144,5750.5254,472.2152,1.6955528,7.152395,1.1283792,2.3262134,0.5641896,8.991702,804,138.6167097844324,79.12331381324906,1.7285482066393743,0.838469008290113,0.4192345041450565,6.681498080415011,3.1720909814156246,2.851749121330647,0.8990123984583769,20.600731184842594,23.668427548991115,0,,0.0,053.338.9902,138.61621740527093,79.13918228085416
9228,1485.5417,1728.2687,2.3058214,1.3261793,-0.61457974,766.7715,54.996307,4.5650854,9.584643,1.4927053,1.9544101,0.5641896,3.7424104,80,138.624579656311,79.0987403839417,1.4522709195093109,1.1091901840803122,0.4192345041450565,2.780887078300101,1.7133954459211231,0.9854490781874358,0.5751439812294221,22.788335094280054,24.992889429722673,0,,0.0,053.338.9228,138.61621740527093,79.13918228085416
11450,1519.6266,2126.6038,3.3146951,1.3204051,0.7161184,118.74941,7.686672,1.8437066,2.0474036,1.5957692,1.9544101,0.5641896,3.2897623,58,138.58516517603576,79.18092556356798,1.4522709195093109,1.1857742668279485,0.4192345041450565,2.444536139261696,2.4630630494439254,0.9811584215113214,0.39834888584473427,24.813421348665756,26.619193252776466,0,,0.0,053.338.11450,138.61621740527093,79.13918228085416
8776,1522.5208,1644.8121,2.805638,1.8121436,-1.2851411,178.8805,9.540822,2.2129211,2.8851693,1.8712052,2.0342145,0.5641896,3.5233629,62,138.5846844139387,79.08147807547482,1.5115714774469151,1.3904435391500505,0.4192345041450565,2.618118622364872,2.0847960610059597,1.3465564122161018,0.6458935899784648,24.36859249967121,26.7860130597574,0,,0.0,053.338.8776,138.61621740527093,79.13918228085416
9375,1437.1635,1747.3192,3.7531283,2.2036865,-0.7267493,2281.796,159.9678,1.6116298,7.0209103,1.3819766,2.111004,0.5641896,5.7258987,325,138.6773079626695,79.10271214322033,1.5686317422161464,1.0269105893498764,0.4192345041450565,4.254765246079197,2.7888512688700375,1.6375016787240584,0.5871599167020216,21.604307963811358,23.99867864091484,0,,0.0,053.338.9375,138.61621740527093,79.13918228085416
12185,1797.6287,2260.2751,1.4278722,0.6227465,-1.4896647,32.298973,4.126541,1.1490312,1.6999459,1.4927053,1.1283792,0.0,1.9544101,19,138.2779614219149,79.2080720468623,0.838469008290113,1.1091901840803122,0.0,1.4522709195093109,1.0610144067694813,0.4627466017373759,0.43613602113690564,26.227028216426408,26.93839286481707,1.0,091306+791228,1.0,053.338.12185,,
12221,1793.8354,2263.9175,4.2171597,2.5345452,-0.877738,919.44794,77.317245,2.1083272,4.6203413,1.2615663,2.0342145,0.5641896,5.6700354,199,138.28210145398864,79.20883190597203,1.5115714774469151,0.9374368514177035,0.4192345041450565,4.2132546920466405,3.133660839778002,1.8833541067670039,0.6010076402845262,22.591182139721088,24.930400246004506,0,,0.0,053.338.12221,138.2779614219149,79.2080720468623
11850,1828.3704,2189.605,2.784728,1.859267,-0.823149,859.4509,64.19818,3.6722393,6.366303,1.1283792,2.2567585,0.5641896,5.26241,135,138.24492607541578,79.19341856670695,1.676938090887605,0.838469008290113,0.4192345041450565,3.910358941316867,2.069258388064677,1.3815725756346213,0.6676655673372768,22.664447323236857,25.343304601920234,0,,0.0,053.338.11850,138.2779614219149,79.2080720468623
12157,1754.9485,2258.417,2.9322362,2.4855676,0.093133606,705.1333,57.5984,2.5564737,5.4241023,1.1283792,1.9544101,0.5641896,4.6180906,130,138.32502736308552,79.20777626940847,1.4522709195093109,0.838469008290113,0.4192345041450565,3.4315820830230592,2.1788678652410196,1.8469601359277417,0.8476696386191536,22.879321938081336,25.505001395432625,0,,0.0,053.338.12157,138.2779614219149,79.2080720468623
9794,1830.4174,1827.2706,3.6391964,2.1134105,-1.0309796,84.01637,3.6453705,1.2122191,1.3551028,2.5854416,2.111004,0.7978846,3.3377905,62,138.24701442388184,79.11862991488293,1.5686317422161464,1.9211738875938185,0.5928871334139743,2.480224635845078,2.7041914601766406,1.570419949290905,0.5807354887469113,25.189090216154362,27.571515809220287,0,,0.0,053.338.9794,138.2779614219149,79.2080720468623
10157,1861.2528,1904.2552,4.0045543,2.081712,1.1410092,83.26696,6.5317755,1.0564615,1.1564856,1.1283792,1.9544101,0.5641896,3.2410223,72,138.21233497207564,79.1344479529676,1.4522709195093109,0.838469008290113,0.4192345041450565,2.4083187227548515,2.9756793395029857,1.5468656247701373,0.5198361275810395,25.19881822685928,27.293597260993494,0,,0.0,053.338.10157,138.2779614219149,79.2080720468623
6159,701.79584,813.2276,5.905326,3.4977832,1.009584,239.24109,9.595763,0.7618402,0.9345355,0.5641896,3.949327,1.1283792,6.5795245,256,177.8689040283955,37.409889893281466,2.9346413804006377,0.4192345041450565,0.838469008290113,4.8890722042160135,4.3880929698543,2.5991110177481276,0.5923099249728128,24.05291056894456,27.816932960897613,1.0,MATLAS-1108,1.0,282.255.6159,,
